5-accuracy,6-accuracy,7-accuracy,8-accuracy,9-accuracy,total_resp
34,29,22,9,1,40
40,36,25,17,8,40
28,24,18,12,12,40
38,33,28,17,4,40
27,25,14,11,10,40
33,33,29,17,6,40
25,12,16,20,12,40
34,33,26,13,5,40
22,23,19,16,21,40
7,14,12,13,17,40
34,21,15,7,4,40
28,27,22,16,16,40
26,32,28,16,5,40
31,16,7,2,1,40
37,29,27,14,9,40
37,36,32,27,17,40
39,38,33,23,17,40
38,34,32,25,14,40
13,5,5,14,9,40
33,25,18,20,12,40
36,33,30,20,12,40
38,37,35,23,16,40
26,23,12,7,2,40
39,34,33,30,21,40
18,20,12,16,17,40
35,38,25,10,6,40
29,31,27,12,5,40
35,33,24,18,10,40
12,12,17,17,15,40
28,26,20,17,12,40
