participant_id,task_status,2-hit-miss,3-hit-miss,4-hit-miss,5-hit-miss,100-hit-miss,2-rt,3-rt,4-rt,5-rt,100-rt,2-fa-cr,3-fa-cr,4-fa-cr,5-fa-cr,100-fa-cr
15,PRE_TEST,0.75,0.875,0.8125,0.5625,0.4375,820.8333333333334,784.3571428571429,762.6923076923077,794.5555555555555,879.0,0.3125,0.25,0.25,0.0625,0.0
15,POST_TEST,0.6875,0.875,0.875,0.875,0.5,786.4545454545455,792.5,758.0,804.3571428571429,800.0,0.375,0.1875,0.25,0.125,0.0
51,PRE_TEST,0.875,1.0,0.9375,0.9375,0.3125,886.7142857142857,856.875,890.2,864.1333333333333,945.2,0.0625,0.0,0.0625,0.0625,0.0
51,POST_TEST,0.8125,1.0,0.9375,0.9375,0.5,804.6153846153846,802.25,788.0666666666667,812.4,826.875,0.0,0.0625,0.0,0.0625,0.0
48,PRE_TEST,0.9375,0.8125,0.875,0.9375,0.4375,847.6666666666666,839.5384615384615,905.7857142857143,906.5333333333333,904.5714285714286,0.1875,0.25,0.0,0.125,0.0
48,POST_TEST,0.75,0.875,0.8125,0.875,0.75,858.4166666666666,920.2142857142857,896.2307692307693,879.9285714285714,894.4166666666666,0.25,0.1875,0.1875,0.1875,0.0
68,PRE_TEST,1.0,0.9375,1.0,1.0,0.8125,787.9375,765.3333333333334,798.9375,814.5625,832.9230769230769,0.0625,0.0625,0.0625,0.0625,0.0
68,POST_TEST,1.0,1.0,1.0,1.0,0.875,748.875,759.625,795.8125,786.25,848.6428571428571,0.0,0.0625,0.0,0.0,0.0
70,PRE_TEST,0.75,0.9375,1.0,0.9375,0.375,836.25,791.1333333333333,827.0,807.4666666666667,881.0,0.0625,0.1875,0.125,0.25,0.0
70,POST_TEST,0.875,0.875,0.875,0.9375,0.5625,822.0,866.2857142857143,842.5,816.6666666666666,884.8888888888889,0.0625,0.0625,0.125,0.0625,0.0
72,PRE_TEST,0.6875,0.8125,0.8125,0.9375,0.625,906.0909090909091,939.0,923.0769230769231,893.3333333333334,968.5,0.125,0.0,0.125,0.0625,0.0
72,POST_TEST,0.75,0.75,0.875,0.875,0.5,890.0,896.0,873.9285714285714,908.3571428571429,895.75,0.0,0.0,0.0,0.0,0.0625
82,PRE_TEST,0.0,0.1875,0.125,0.375,0.125,1400.0,1005.3333333333334,891.5,994.1666666666666,975.0,0.0,0.0,0.0625,0.0,0.0
82,POST_TEST,0.0,0.0,0.0625,0.0,0.0625,1400.0,1400.0,932.0,1400.0,683.0,0.0625,0.0,0.0625,0.0,0.0
85,PRE_TEST,0.6875,0.625,0.8125,0.8125,0.5,839.1818181818181,861.6,858.7692307692307,872.9230769230769,929.125,0.125,0.125,0.1875,0.0625,0.0
85,POST_TEST,0.625,0.6875,0.8125,0.75,0.3125,896.5,877.2727272727273,881.6153846153846,844.3333333333334,880.4,0.0,0.125,0.1875,0.375,0.0
84,PRE_TEST,0.875,1.0,1.0,0.875,0.4375,933.8571428571429,837.375,865.625,848.2142857142857,910.7142857142857,0.0,0.0625,0.0625,0.1875,0.125
