,participant_id,task_idx,task_status,participant_name,results_responses,results_rt,results_ind_previous,results_targetvalue
0,15,1,PRE_TEST,ejouffroy,"1,1,1,0,0,1,0,2,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1","333,332,350,,,467,,332,,417,400,,,,,449,434,567,400,433,,400,401,,,450,,,,433,,,466,399,433,532,,449,,,433,,450","1,2,6,5,4,4,3,4,5,2,0,5,5,3,2,4,1,1,6,4,1,2,2,5,3,2,0,5,4,4,3,1,6,2,2,0,3,2,4,0,5,3,6","3,3,3,9,1,3,1,4,5,3,3,2,9,9,8,3,3,3,3,3,4,3,3,6,9,3,2,8,8,3,8,1,3,3,3,3,9,3,6,2,3,8,3"
1,15,1,POST_TEST,ejouffroy,"1,1,2,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,2","432,366,366,384,,,384,,,,416,,,366,450,368,,,533,,435,483,367,,,400,,401,566,,599,,366,434,,418,599,,,,,416,399","2,0,3,4,0,2,0,3,0,6,3,5,6,2,0,0,5,3,4,5,4,0,2,0,1,3,4,5,1,3,0,1,1,1,4,2,1,2,3,4,5,0,6","3,3,6,3,5,4,3,8,9,2,3,1,2,3,3,3,4,2,3,4,3,3,3,8,9,3,1,3,3,8,3,6,3,3,5,3,3,4,5,2,2,3,8"
2,51,0,PRE_TEST,Ryogo_S,"0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1",",,451,,,549,,,533,683,,,533,,550,,500,566,,,566,533,,517,1000,,,650,,501,533,,515,,,546,584,499,,,433,449","2,0,4,6,3,4,1,6,3,1,1,6,2,5,3,6,4,6,3,3,3,6,4,5,0,2,1,2,6,4,0,3,2,6,6,0,2,0,5,1,0,5","5,2,3,4,8,3,3,4,3,3,4,8,3,5,3,6,3,3,5,2,3,3,5,3,3,4,4,3,5,3,3,9,3,9,6,3,3,3,5,5,3,3"
3,51,0,POST_TEST,Ryogo_S,"0,1,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0",",400,449,,,416,,433,,450,450,484,,,616,,466,,,416,450,,,432,,,450,416,450,,450,,450,450,449,,,,384,,,433,433,416,433,,","4,6,5,1,2,0,4,4,5,5,6,3,5,2,1,0,0,3,2,1,4,4,5,2,6,5,1,4,3,0,6,1,0,5,3,3,1,2,2,6,6,5,5,6,6,2,1","5,3,3,9,4,3,2,3,5,3,3,3,2,1,3,1,3,6,4,3,3,1,1,3,6,4,3,3,3,9,3,8,3,3,3,5,2,6,3,9,8,3,3,3,3,8,8"
4,48,5,PRE_TEST,Naoko,"0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1",",,,517,,483,,482,483,,,517,,500,,517,,,517,534,,,,550,,,584,500,,500,583,501,,,,617,,600,,616,,,600,567,,599","2,0,2,2,1,2,1,6,2,1,3,3,6,0,2,2,0,1,2,5,5,6,0,3,5,6,0,5,1,2,2,3,2,5,6,0,6,5,1,0,1,5,5,5,6,4","1,4,5,3,5,3,9,3,3,9,5,3,3,3,1,3,8,5,3,3,4,4,4,3,3,5,3,3,4,3,3,3,2,9,5,3,8,3,9,3,1,5,3,3,6,3"
5,48,5,POST_TEST,Naoko,"0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1",",567,633,566,550,533,,,533,,,583,617,567,,,,,,700,483,,667,,634,,,550,,633,,,533,,,,617,583,,566,,550","0,0,3,3,4,1,0,2,2,5,5,4,0,5,5,1,1,6,5,2,1,5,0,0,4,2,4,1,0,2,0,0,6,2,0,4,1,3,2,4,6,0","4,3,3,3,3,3,5,2,3,6,8,3,3,3,4,9,5,9,6,3,3,1,3,8,3,8,6,3,2,3,8,1,3,5,8,5,3,3,4,3,1,3"
6,68,6,PRE_TEST,Marie_Ga,"2,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0","401,,447,438,,483,,452,,498,,500,,482,,,,446,,467,,451,483,,,472,483,450,,467,,,462,,451,470,,487,517,,","1,3,2,5,6,2,3,6,3,2,2,3,6,0,6,1,5,5,4,5,4,2,4,0,3,0,1,0,6,4,4,4,2,6,4,1,2,2,1,6,5","6,6,3,3,5,3,8,3,5,3,9,3,6,3,6,4,4,3,5,3,4,3,3,9,6,3,3,3,5,3,4,5,3,2,3,3,5,3,3,2,4"
7,68,6,POST_TEST,Marie_Ga,"1,0,0,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0,1","485,,,452,518,,,465,517,,433,499,498,,417,434,,,,,,433,466,493,482,,,,,,481,,586,451,,,506,451,473,,,,526,525,,501","1,6,5,4,2,3,4,3,5,1,6,5,6,0,3,0,0,4,5,1,0,6,3,2,3,0,0,4,4,5,2,2,3,2,4,3,4,0,6,3,5,1,1,2,2,1","3,8,6,3,3,5,4,3,3,9,3,3,3,5,3,3,8,4,6,8,2,3,3,3,3,9,5,1,2,2,3,9,3,3,3,9,3,3,3,2,1,2,3,3,6,3"
8,70,5,PRE_TEST,t-fukiage,"1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,1","484,,,,,482,450,,450,465,432,499,,,,601,500,,,,,468,,,,,616,533,,467,466,,,533,484,,501,,467","2,1,0,3,3,0,1,6,4,5,2,5,6,4,6,3,1,6,6,6,2,3,4,1,0,4,5,0,5,6,4,4,1,6,3,2,3,1,6","3,8,9,4,4,3,3,1,3,3,3,3,6,9,1,3,3,2,6,9,6,3,5,6,1,5,3,3,1,3,3,8,4,3,3,1,3,1,3"
9,70,5,POST_TEST,t-fukiage,"0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1",",499,466,,,532,533,,,468,516,,,,515,482,,,500,,,,,566,517,500,449,518,517,,,501,,,481,,501,498,516,,,,,500","3,3,1,0,1,1,5,1,2,0,0,2,6,5,2,3,0,5,0,5,4,5,4,2,2,5,1,2,0,2,4,5,6,4,0,6,0,6,2,0,5,5,1,2","5,3,3,5,9,3,3,6,5,3,3,8,9,2,3,3,4,4,3,8,6,2,8,3,3,3,3,3,3,4,4,3,9,8,3,2,3,3,3,2,9,6,5,3"
