parity-switch-correct,parity-unswitch-correct,relative-switch-correct,relative-unswitch-correct,parity-switch-nb,parity-unswitch-nb,relative-switch-nb,relative-unswitch-nb
48,46,47,44,48,48,48,48
48,55,43,36,48,57,48,39
39,45,43,46,48,47,48,49
47,47,46,43,48,48,48,48
48,50,46,42,48,50,48,44
48,38,48,57,48,38,48,58
47,45,48,50,48,46,48,50
46,47,43,43,48,51,48,45
47,40,48,56,48,40,48,56
48,52,48,43,48,52,48,44
47,49,46,46,48,50,48,46
47,55,47,40,48,56,48,40
48,45,45,49,48,47,48,49
47,40,48,54,48,40,48,56
48,40,47,54,48,40,48,56
47,52,45,40,48,53,48,43
46,51,48,42,48,54,48,42
48,41,48,53,48,41,48,55
47,44,47,52,48,44,48,52
43,61,44,33,48,62,48,34
45,54,45,40,48,56,48,40
46,67,47,27,48,67,48,29
45,55,47,39,48,56,48,40
46,52,47,42,48,52,48,43
46,47,47,47,48,49,48,47
46,42,47,52,48,42,48,53
48,43,44,51,48,43,48,53
48,46,47,49,48,46,48,50
48,50,48,45,48,51,48,45
