participant_id,task_status,parity-switch-accuracy,parity-unswitch-accuracy,relative-switch-accuracy,relative-unswitch-accuracy,parity-switching-cost-rt,relative-switching-cost-rt
15,PRE_TEST,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,76.22222222222223,-10.568627450980387
15,POST_TEST,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,52.60784313725492,40.75555555555559
51,PRE_TEST,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9545454545454546,47.64000000000004,119.65217391304344
51,POST_TEST,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,-8.58823529411768,52.31111111111113
48,PRE_TEST,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,343.90909090909093,-1.8269230769230376
48,POST_TEST,1.0,1.0,1.0,1.0,141.82,138.93478260869563
68,PRE_TEST,1.0,1.0,1.0,1.0,96.51111111111112,16.784313725490165
68,POST_TEST,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,57.913043478260875,34.139999999999986
70,PRE_TEST,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9545454545454546,46.36734693877548,143.21739130434787
70,POST_TEST,1.0,1.0,1.0,1.0,386.9512195121951,58.29090909090911
72,PRE_TEST,1.0,1.0,1.0,1.0,4.326923076923094,196.59090909090912
72,POST_TEST,1.0,1.0,1.0,1.0,85.57777777777778,42.25490196078431
82,PRE_TEST,1.0,1.0,1.0,1.0,-7.730769230769283,365.813953488372
82,POST_TEST,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,201.60416666666669,129.875
85,PRE_TEST,1.0,1.0,1.0,1.0,20.607843137254918,55.82222222222225
85,POST_TEST,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,19.490566037735846,127.09302325581396
84,PRE_TEST,0.9375,0.9375,0.9375,0.9375,-86.96428571428572,322.47499999999997
84,POST_TEST,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,-95.50847457627123,296.62162162162167
87,PRE_TEST,1.0,1.0,1.0,1.0,16.038461538461547,214.68181818181813
87,POST_TEST,1.0,1.0,1.0,1.0,65.38461538461542,228.47727272727275
90,PRE_TEST,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,-13.481481481481467,159.54761904761904
90,POST_TEST,1.0,1.0,1.0,1.0,-127.28571428571428,238.85000000000002
96,PRE_TEST,1.0,1.0,1.0,1.0,65.40425531914889,133.75510204081633
96,POST_TEST,1.0,1.0,1.0,1.0,166.02222222222218,116.60784313725492
97,PRE_TEST,0.96,0.96,0.96,0.96,61.170212765957444,124.9387755102041
97,POST_TEST,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,188.23809523809518,-65.16666666666669
116,PRE_TEST,1.0,1.0,1.0,1.0,36.379999999999995,62.913043478260875
116,POST_TEST,1.0,1.0,1.0,1.0,-13.346153846153868,92.43181818181819
77,PRE_TEST,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,193.195652173913,43.34000000000003
77,POST_TEST,1.0,1.0,1.0,1.0,233.6190476190476,47.81481481481478
140,PRE_TEST,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9259259259259259,52.71111111111114,-32.019607843137265
140,POST_TEST,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,-85.98333333333332,167.41666666666669
155,PRE_TEST,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,304.5609756097561,-21.54545454545456
155,POST_TEST,0.96,0.96,0.96,0.96,93.40425531914889,51.77551020408163
158,PRE_TEST,1.0,1.0,1.0,1.0,150.0697674418605,14.433962264150978
158,POST_TEST,1.0,1.0,1.0,1.0,-22.615384615384585,128.4318181818182
165,PRE_TEST,1.0,1.0,1.0,1.0,3.2909090909090537,283.9024390243902
165,POST_TEST,1.0,1.0,1.0,1.0,97.32653061224494,183.531914893617
168,PRE_TEST,1.0,1.0,1.0,1.0,87.70000000000005,142.1304347826087
168,POST_TEST,1.0,1.0,1.0,1.0,-11.791666666666686,68.52083333333331
177,PRE_TEST,1.0,1.0,1.0,1.0,1.0,439.25000000000006
177,POST_TEST,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,178.4772727272727,57.44230769230768
178,PRE_TEST,1.0,1.0,1.0,1.0,462.6590909090909,14.67307692307702
178,POST_TEST,1.0,1.0,1.0,1.0,288.1590909090909,73.15384615384608
179,PRE_TEST,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9259259259259259,104.37777777777774,36.0
179,POST_TEST,1.0,1.0,1.0,1.0,-5.203703703703752,170.14285714285717
180,PRE_TEST,1.0,1.0,1.0,1.0,77.23913043478257,21.060000000000002
180,POST_TEST,1.0,1.0,1.0,1.0,75.3125,54.083333333333314
183,PRE_TEST,1.0,1.0,1.0,1.0,394.6190476190476,-31.90740740740739
183,POST_TEST,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,199.97727272727275,-8.923076923076906
184,PRE_TEST,1.0,1.0,1.0,1.0,69.50980392156862,189.4772727272727
184,POST_TEST,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,110.19148936170211,1.6875
185,PRE_TEST,0.95,0.95,0.95,0.95,1.365384615384528,145.97727272727275
185,POST_TEST,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,255.22727272727275,87.78846153846155
176,PRE_TEST,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9259259259259259,212.17777777777775,131.39215686274508
176,POST_TEST,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9545454545454546,148.32000000000005,174.93478260869563
190,PRE_TEST,1.0,1.0,1.0,1.0,-59.4909090909091,86.14634146341461
190,POST_TEST,1.0,1.0,1.0,1.0,89.45454545454544,14.55769230769232
