participant_id,task_status,5-accuracy,6-accuracy,7-accuracy,8-accuracy,9-accuracy
15,PRE_TEST,0.95,0.75,0.6,0.25,0.0
15,POST_TEST,0.75,0.7,0.5,0.2,0.05
51,PRE_TEST,1.0,0.9,0.7,0.4,0.3
51,POST_TEST,1.0,0.9,0.55,0.45,0.1
48,PRE_TEST,0.25,0.3,0.5,0.35,0.4
48,POST_TEST,0.35,0.35,0.35,0.5,0.35
68,PRE_TEST,0.85,0.85,0.5,0.45,0.2
68,POST_TEST,0.9,0.8,0.7,0.45,0.3
70,PRE_TEST,0.65,0.75,0.8,0.35,0.25
70,POST_TEST,0.8,0.8,0.55,0.25,0.0
72,PRE_TEST,0.9,0.95,0.6,0.2,0.1
72,POST_TEST,0.85,0.95,0.65,0.3,0.2
82,PRE_TEST,0.35,0.35,0.15,0.55,0.5
82,POST_TEST,0.55,0.65,0.45,0.25,0.35
85,PRE_TEST,1.0,0.8,0.85,0.7,0.5
85,POST_TEST,0.95,0.9,0.8,0.8,0.55
84,PRE_TEST,0.8,0.65,0.25,0.05,0.0
84,POST_TEST,0.5,0.5,0.35,0.35,0.1
87,PRE_TEST,0.95,0.9,0.95,0.55,0.45
87,POST_TEST,0.95,0.95,0.8,0.6,0.35
90,PRE_TEST,0.8,0.7,0.6,0.4,0.35
90,POST_TEST,1.0,0.95,0.9,0.6,0.25
96,PRE_TEST,0.75,0.55,0.35,0.45,0.3
96,POST_TEST,0.9,0.7,0.55,0.55,0.35
97,PRE_TEST,0.45,0.15,0.1,0.35,0.2
97,POST_TEST,0.2,0.1,0.15,0.35,0.25
116,PRE_TEST,0.95,0.7,0.85,0.6,0.25
116,POST_TEST,0.95,1.0,0.75,0.7,0.45
77,PRE_TEST,0.95,1.0,0.8,0.55,0.45
77,POST_TEST,1.0,0.9,0.85,0.6,0.4
140,PRE_TEST,0.9,0.9,0.8,0.6,0.35
140,POST_TEST,0.95,0.9,0.8,0.75,0.5
155,PRE_TEST,0.9,0.7,0.7,0.3,0.05
155,POST_TEST,0.95,0.75,0.65,0.4,0.4
158,PRE_TEST,0.75,0.4,0.15,0.1,0.0
158,POST_TEST,0.8,0.4,0.2,0.0,0.05
165,PRE_TEST,0.65,0.8,0.7,0.35,0.2
165,POST_TEST,0.65,0.8,0.7,0.45,0.05
168,PRE_TEST,0.55,0.65,0.65,0.45,0.4
168,POST_TEST,0.85,0.7,0.45,0.35,0.4
177,PRE_TEST,0.7,0.55,0.4,0.3,0.2
177,POST_TEST,1.0,0.5,0.35,0.05,0.0
178,PRE_TEST,0.1,0.35,0.15,0.4,0.4
178,POST_TEST,0.25,0.35,0.45,0.25,0.45
179,PRE_TEST,0.7,0.6,0.65,0.6,0.55
179,POST_TEST,0.4,0.55,0.3,0.2,0.5
180,PRE_TEST,0.9,0.85,0.65,0.45,0.1
180,POST_TEST,0.8,0.8,0.65,0.2,0.15
183,PRE_TEST,0.6,0.3,0.35,0.7,0.25
183,POST_TEST,0.65,0.35,0.45,0.35,0.35
184,PRE_TEST,0.75,0.9,0.6,0.4,0.2
184,POST_TEST,0.9,0.75,0.85,0.45,0.1
185,PRE_TEST,0.6,0.6,0.3,0.2,0.3
185,POST_TEST,0.75,0.65,0.4,0.35,0.2
176,PRE_TEST,0.9,0.9,0.7,0.4,0.2
176,POST_TEST,1.0,0.75,0.7,0.45,0.0
190,PRE_TEST,0.65,0.4,0.35,0.45,0.2
190,POST_TEST,0.75,0.8,0.55,0.15,0.4
196,PRE_TEST,0.5,0.5,0.35,0.3,0.35
196,POST_TEST,0.9,0.8,0.7,0.55,0.25
