participant_id,task_status,condition,5-accuracy,6-accuracy,7-accuracy,8-accuracy,9-accuracy
228,PRE_TEST,zpdes,0.9,0.9,0.4,0.4,0.0
228,POST_TEST,zpdes,0.95,0.85,0.65,0.25,0.05
231,PRE_TEST,baseline,1.0,0.65,0.5,0.45,0.55
231,POST_TEST,baseline,0.85,0.85,0.8,0.5,0.25
232,PRE_TEST,zpdes,0.85,0.85,0.6,0.35,0.1
232,POST_TEST,zpdes,0.9,0.9,0.65,0.3,0.15
233,PRE_TEST,zpdes,0.75,0.8,0.85,0.6,0.4
233,POST_TEST,zpdes,0.85,0.8,0.8,0.7,0.6
234,PRE_TEST,zpdes,0.95,0.9,0.8,0.45,0.4
234,POST_TEST,zpdes,0.95,1.0,0.95,0.85,0.6
246,PRE_TEST,baseline,0.85,0.8,0.6,0.2,0.05
246,POST_TEST,baseline,0.75,0.6,0.45,0.15,0.0
247,PRE_TEST,zpdes,0.8,0.75,0.3,0.15,0.15
247,POST_TEST,zpdes,0.65,0.55,0.55,0.25,0.35
251,PRE_TEST,baseline,0.9,0.9,0.75,0.55,0.55
251,POST_TEST,baseline,0.9,0.85,0.75,0.7,0.45
254,PRE_TEST,baseline,0.8,0.75,0.45,0.3,0.2
254,POST_TEST,baseline,0.7,0.85,0.4,0.05,0.1
257,PRE_TEST,baseline,0.95,0.75,0.7,0.5,0.5
257,POST_TEST,baseline,0.95,0.85,0.85,0.75,0.55
260,PRE_TEST,baseline,0.85,0.45,0.5,0.15,0.05
260,POST_TEST,baseline,0.75,0.35,0.4,0.4,0.35
261,PRE_TEST,zpdes,0.95,0.8,0.85,0.55,0.25
261,POST_TEST,zpdes,0.8,0.65,0.65,0.55,0.45
263,PRE_TEST,baseline,0.85,0.7,0.2,0.5,0.35
263,POST_TEST,baseline,0.9,0.75,0.4,0.6,0.1
265,PRE_TEST,zpdes,0.95,0.75,0.1,0.1,0.0
265,POST_TEST,zpdes,0.65,0.4,0.45,0.5,0.3
267,PRE_TEST,baseline,0.95,0.85,0.8,0.65,0.45
267,POST_TEST,baseline,0.9,0.8,0.6,0.7,0.55
268,PRE_TEST,zpdes,1.0,0.6,0.65,0.55,0.45
268,POST_TEST,zpdes,0.9,0.85,0.7,0.6,0.25
270,PRE_TEST,zpdes,0.5,0.55,0.45,0.45,0.2
270,POST_TEST,zpdes,0.45,0.6,0.5,0.55,0.55
272,PRE_TEST,baseline,0.95,0.6,0.45,0.5,0.2
272,POST_TEST,baseline,0.85,0.7,0.65,0.3,0.35
274,POST_TEST,baseline,0.5,0.55,0.4,0.25,0.15
277,PRE_TEST,zpdes,1.0,0.9,0.8,0.55,0.3
277,POST_TEST,zpdes,1.0,0.85,0.8,0.7,0.35
280,PRE_TEST,zpdes,0.95,0.9,0.7,0.3,0.15
280,POST_TEST,zpdes,1.0,0.75,0.7,0.45,0.1
281,PRE_TEST,baseline,0.9,0.85,0.75,0.7,0.5
281,POST_TEST,baseline,0.85,0.95,0.9,0.5,0.4
