participant_id,task_status,condition,2-hit-miss,3-hit-miss,4-hit-miss,5-hit-miss,100-hit-miss,2-rt,3-rt,4-rt,5-rt,100-rt,2-fa-cr,3-fa-cr,4-fa-cr,5-fa-cr,100-fa-cr
228,PRE_TEST,zpdes,6.0,9.0,7.0,9.0,4.0,917.3333333333334,981.0,918.2857142857143,951.4444444444445,949.25,1.0,1.0,1.0,2.0,0.0
228,POST_TEST,zpdes,10.0,11.0,12.0,8.0,9.0,850.9,859.0,885.5833333333334,833.625,905.4444444444445,3.0,2.0,1.0,1.0,0.0
231,PRE_TEST,baseline,14.0,9.0,13.0,13.0,12.0,824.3571428571429,815.7777777777778,861.7692307692307,854.3846153846154,864.5,0.0,4.0,2.0,0.0,0.0
231,POST_TEST,baseline,15.0,15.0,15.0,14.0,12.0,728.0666666666667,793.7333333333333,768.2666666666667,778.1428571428571,802.25,0.0,0.0,2.0,0.0,0.0
232,PRE_TEST,zpdes,14.0,14.0,15.0,13.0,8.0,728.6428571428571,767.8571428571429,771.8,787.1538461538462,764.75,1.0,1.0,3.0,2.0,1.0
232,POST_TEST,zpdes,12.0,15.0,14.0,15.0,10.0,734.0833333333334,728.2,769.7857142857143,803.4666666666667,756.9,1.0,3.0,2.0,1.0,1.0
234,PRE_TEST,zpdes,11.0,10.0,16.0,13.0,3.0,955.5454545454545,916.1,871.5625,882.6923076923077,823.0,1.0,1.0,1.0,0.0,0.0
234,POST_TEST,zpdes,11.0,10.0,16.0,13.0,3.0,955.5454545454545,916.1,871.5625,882.6923076923077,823.0,1.0,1.0,1.0,0.0,0.0
246,PRE_TEST,baseline,15.0,15.0,15.0,14.0,5.0,904.3333333333334,895.3333333333334,890.9333333333333,885.2142857142857,927.2,2.0,3.0,1.0,1.0,1.0
246,POST_TEST,baseline,12.0,11.0,14.0,14.0,11.0,928.9166666666666,919.5454545454545,931.7857142857143,927.0714285714286,939.1818181818181,2.0,1.0,0.0,1.0,0.0
247,PRE_TEST,zpdes,14.0,13.0,14.0,13.0,12.0,879.5,937.2307692307693,942.6428571428571,947.1538461538462,923.4166666666666,1.0,2.0,2.0,0.0,0.0
247,POST_TEST,zpdes,7.0,10.0,7.0,8.0,9.0,958.5714285714286,961.5,940.1428571428571,905.375,966.2222222222222,1.0,1.0,2.0,4.0,0.0
251,PRE_TEST,baseline,6.0,7.0,5.0,8.0,7.0,919.6666666666666,964.0,891.2,867.0,853.8571428571429,3.0,4.0,0.0,3.0,0.0
251,POST_TEST,baseline,14.0,14.0,14.0,14.0,11.0,772.3571428571429,843.1428571428571,848.9285714285714,810.7142857142857,813.7272727272727,1.0,1.0,3.0,0.0,0.0
254,PRE_TEST,baseline,14.0,15.0,14.0,16.0,12.0,814.6428571428571,763.8,815.9285714285714,803.3125,834.9166666666666,2.0,1.0,0.0,0.0,0.0
254,POST_TEST,baseline,10.0,13.0,15.0,15.0,10.0,868.1,836.3076923076923,855.7333333333333,841.7333333333333,873.7,4.0,1.0,4.0,4.0,0.0
257,PRE_TEST,baseline,13.0,15.0,16.0,15.0,5.0,924.7692307692307,908.0,874.4375,858.9333333333333,886.0,3.0,1.0,1.0,1.0,0.0
257,POST_TEST,baseline,14.0,12.0,8.0,9.0,1.0,910.1428571428571,936.4166666666666,886.875,910.2222222222222,883.0,4.0,4.0,3.0,2.0,0.0
260,PRE_TEST,baseline,14.0,13.0,11.0,13.0,6.0,892.7142857142857,894.9230769230769,888.4545454545455,928.4615384615385,890.6666666666666,2.0,3.0,1.0,5.0,0.0
260,POST_TEST,baseline,11.0,13.0,13.0,13.0,3.0,868.1818181818181,908.9230769230769,885.4615384615385,929.3846153846154,983.3333333333334,0.0,2.0,4.0,2.0,0.0
