parity-switch-correct,parity-unswitch-correct,relative-switch-correct,relative-unswitch-correct,parity-switch-nb,parity-unswitch-nb,relative-switch-nb,relative-unswitch-nb
46,44,47,51,48,45,48,51
47,50,46,42,48,53,48,43
48,50,45,44,48,50,48,46
47,40,46,55,48,41,48,55
44,43,45,51,48,44,48,52
47,44,47,48,48,46,48,50
42,52,46,43,48,53,48,43
46,53,47,42,48,53,48,43
46,46,48,47,48,48,48,48
47,48,47,47,48,49,48,47
44,50,35,34,48,51,48,45
48,38,44,55,48,38,48,58
48,38,47,55,48,39,48,57
44,47,48,43,48,51,48,45
45,44,48,48,48,45,48,51
46,36,47,54,48,39,48,57
47,50,45,41,48,51,48,45
48,45,48,48,48,46,48,50
47,51,48,45,48,51,48,45
47,53,47,41,48,54,48,42
45,47,47,42,48,52,48,44
48,50,47,44,48,50,48,46
