participant_id,task_status,condition,parity-switch-correct,parity-unswitch-correct,relative-switch-correct,relative-unswitch-correct,parity-switching-cost-rt,relative-switching-cost-rt,nb_total,relative-switch-nb,relative-unswitch-nb,parity-switch-nb,parity-unswitch-nb
228,PRE_TEST,zpdes,23,21,23,27,367.0444444444445,114.66666666666669,96,24,27,24,21
228,POST_TEST,zpdes,23,23,24,24,134.33333333333337,196.52083333333337,96,24,24,24,24
231,PRE_TEST,baseline,24,18,24,28,175.9772727272727,57.32692307692304,96,24,28,24,20
231,POST_TEST,baseline,23,32,22,14,-46.21052631578948,193.30769230769232,96,24,15,24,33
232,PRE_TEST,zpdes,22,31,23,13,-34.23728813559319,235.7297297297297,96,24,13,24,35
232,POST_TEST,zpdes,23,16,24,29,180.46341463414635,-0.8000000000000114,96,24,31,24,17
233,PRE_TEST,zpdes,23,28,24,20,76.51923076923077,300.31818181818176,96,24,20,24,28
233,POST_TEST,zpdes,24,25,23,21,26.379999999999995,127.49999999999997,96,24,22,24,26
234,PRE_TEST,zpdes,24,26,24,22,2.240000000000009,35.21739130434787,96,24,22,24,26
234,POST_TEST,zpdes,23,25,24,23,31.714285714285666,34.85106382978722,96,24,23,24,25
246,PRE_TEST,baseline,24,31,24,17,-83.61818181818182,210.9512195121951,96,24,17,24,31
246,POST_TEST,baseline,24,14,24,31,248.99999999999997,-50.38596491228071,96,24,33,24,15
247,PRE_TEST,zpdes,23,26,23,20,51.3725490196079,315.6,96,24,21,24,27
247,POST_TEST,zpdes,24,24,22,21,333.8333333333333,75.02083333333331,96,24,24,24,24
251,PRE_TEST,baseline,24,18,23,29,106.16666666666663,-24.90740740740739,96,24,30,24,18
251,POST_TEST,baseline,22,18,24,25,74.48888888888888,-15.980392156862763,96,24,27,24,21
254,PRE_TEST,baseline,22,26,24,20,-14.725490196078397,135.3777777777778,96,24,21,24,27
254,POST_TEST,baseline,23,18,24,28,101.28571428571428,1.185185185185162,96,24,30,24,18
257,PRE_TEST,baseline,22,21,24,26,20.260869565217376,-16.839999999999975,96,24,26,24,22
257,POST_TEST,baseline,22,26,24,17,-34.660377358490564,63.90697674418604,96,24,19,24,29
260,PRE_TEST,baseline,24,21,23,25,142.0,40.04000000000002,96,24,26,24,22
260,POST_TEST,baseline,24,17,24,30,159.2926829268293,-45.709090909090946,96,24,31,24,17
261,PRE_TEST,zpdes,24,22,23,25,38.717391304347814,-15.300000000000011,96,24,26,24,22
261,POST_TEST,zpdes,24,16,21,30,273.575,-24.285714285714278,96,24,32,24,16
263,PRE_TEST,baseline,22,21,18,22,149.51111111111106,-15.215686274509778,96,24,27,24,21
263,POST_TEST,baseline,22,29,17,12,-19.40740740740739,66.16666666666669,96,24,18,24,30
265,PRE_TEST,zpdes,24,29,24,18,58.59259259259261,206.59523809523807,96,24,18,24,30
265,POST_TEST,zpdes,23,19,23,29,193.95348837209303,38.47169811320754,96,24,29,24,19
267,PRE_TEST,baseline,23,22,24,24,21.978723404255334,19.79591836734693,96,24,25,24,23
267,POST_TEST,baseline,23,24,24,23,-0.612244897959215,42.787234042553166,96,24,23,24,25
268,PRE_TEST,zpdes,23,29,23,18,-33.96226415094338,176.67441860465118,96,24,19,24,29
268,POST_TEST,zpdes,23,24,24,24,-2.0416666666666288,27.5,96,24,24,24,24
270,PRE_TEST,zpdes,22,23,23,25,124.51063829787233,126.10204081632656,96,24,25,24,23
270,POST_TEST,zpdes,20,29,23,18,-3.2037037037036953,188.3095238095238,96,24,18,24,30
272,PRE_TEST,baseline,24,26,24,21,-62.95999999999998,240.5217391304348,96,24,22,24,26
272,POST_TEST,baseline,23,18,23,27,187.1818181818182,68.86538461538464,96,24,28,24,20
274,PRE_TEST,baseline,22,20,22,27,217.0681818181818,28.173076923076906,96,24,28,24,20
274,POST_TEST,baseline,22,23,23,24,103.02083333333331,125.25,96,24,24,24,24
277,PRE_TEST,zpdes,24,17,23,30,141.95238095238096,56.12962962962962,96,24,30,24,18
277,POST_TEST,zpdes,23,23,23,25,36.85106382978728,61.85714285714289,96,24,25,24,23
280,PRE_TEST,zpdes,24,23,21,24,61.212765957446834,-14.306122448979636,96,24,25,24,23
280,POST_TEST,zpdes,24,27,24,20,13.941176470588232,46.17777777777778,96,24,21,24,27
281,PRE_TEST,baseline,24,23,23,23,142.468085106383,5.591836734693857,96,24,25,24,23
281,POST_TEST,baseline,24,27,24,21,11.921568627450995,101.46666666666664,96,24,21,24,27
