4-accuracy,5-accuracy,6-accuracy,7-accuracy,8-accuracy,total_resp
21,17,11,4,0,24
22,23,15,8,6,24
19,20,15,6,6,24
20,18,11,4,0,24
20,20,13,7,4,24
21,16,6,2,0,24
20,19,16,9,1,24
24,21,11,6,1,24
21,18,10,6,2,24
23,18,16,9,5,24
23,15,20,13,7,24
24,22,17,9,6,24
23,18,11,1,4,24
20,19,16,5,4,24
20,22,19,5,4,24
24,23,17,12,3,24
24,22,4,1,2,24
19,15,5,1,0,24
23,23,17,9,3,24
23,23,20,13,11,24
24,24,20,15,9,24
22,20,10,5,0,24
24,23,18,13,6,24
19,12,6,2,0,24
23,23,19,9,6,24
21,21,6,6,3,24
23,17,16,7,1,24
10,3,0,1,0,24
20,17,11,5,0,24
