,participant_id,task_status,HR-rt-gonogo,1-accuracy-moteval,4-accuracy-moteval,8-accuracy-moteval,parity-switch-rt-taskswitch,parity-unswitch-rt-taskswitch,relative-switch-rt-taskswitch,relative-unswitch-rt-taskswitch,accuracy_near-loadblindness,accuracy_far-loadblindness,2-hit-miss-memorability,3-hit-miss-memorability,4-hit-miss-memorability,5-hit-miss-memorability,100-hit-miss-memorability,5-accuracy-enumeration,6-accuracy-enumeration,7-accuracy-enumeration,8-accuracy-enumeration,9-accuracy-enumeration,4-accuracy-workingmemory,5-accuracy-workingmemory,6-accuracy-workingmemory,7-accuracy-workingmemory,8-accuracy-workingmemory
0,15,PRE_TEST,420.22222222222223,0.9333333333333332,0.6133333333333333,0.4666666666666667,353.4,346.97777777777776,256.4901960784314,315.2156862745098,0.45,0.55,0.375,0.4375,0.40625,0.28125,0.21875,0.95,0.75,0.6,0.25,0.0,1.0,0.75,0.5,0.25,0.0
1,15,POST_TEST,430.55555555555554,0.9466666666666668,0.6933333333333334,0.52,331.3333333333333,346.15686274509807,345.1555555555556,247.42222222222225,0.9,0.8,0.34375,0.4375,0.4375,0.4375,0.25,0.75,0.7,0.5,0.2,0.05,0.75,0.6666666666666666,0.4166666666666667,0.0833333333333333,0.0
2,51,PRE_TEST,572.1176470588235,0.9866666666666668,0.7466666666666667,0.5599999999999999,303.64,400.56,375.2608695652174,357.5217391304348,0.7,0.75,0.4375,0.5,0.46875,0.46875,0.15625,1.0,0.9,0.7,0.4,0.3,1.0,0.9166666666666666,0.75,0.5,0.1666666666666666
3,51,POST_TEST,451.55555555555554,0.9866666666666668,0.8666666666666668,0.6,332.6274509803921,311.6470588235294,343.1111111111111,323.46666666666664,0.95,0.75,0.40625,0.5,0.46875,0.46875,0.25,1.0,0.9,0.55,0.45,0.1,1.0,1.0,0.6666666666666666,0.5,0.0833333333333333
4,48,PRE_TEST,524.0625,0.7866666666666667,0.5866666666666668,0.4533333333333333,609.8409090909091,596.8863636363636,452.96153846153845,537.5576923076923,0.35,0.6,0.46875,0.40625,0.4375,0.46875,0.21875,0.25,0.3,0.5,0.35,0.4,0.25,0.0833333333333333,0.0,0.0,0.0
5,48,POST_TEST,586.0555555555555,0.7466666666666667,0.5733333333333334,0.4666666666666667,465.94,585.56,460.0434782608696,409.8043478260869,0.25,0.55,0.375,0.4375,0.40625,0.4375,0.375,0.35,0.35,0.35,0.5,0.35,0.5833333333333334,0.1666666666666666,0.0,0.0833333333333333,0.0
6,68,PRE_TEST,466.77777777777777,0.9333333333333332,0.6,0.5866666666666666,355.6222222222222,310.1333333333333,307.921568627451,375.6862745098039,1.0,0.95,0.5,0.46875,0.5,0.5,0.40625,0.85,0.85,0.5,0.45,0.2,0.9166666666666666,0.5833333333333334,0.6666666666666666,0.0833333333333333,0.0833333333333333
7,68,POST_TEST,477.05882352941177,0.9866666666666668,0.6933333333333334,0.56,380.0652173913044,380.7608695652174,365.24,373.14,0.9,0.95,0.5,0.5,0.5,0.5,0.4375,0.9,0.8,0.7,0.45,0.3,1.0,0.8333333333333334,0.6666666666666666,0.5,0.0
8,70,PRE_TEST,494.3333333333333,0.9466666666666668,0.6266666666666666,0.5599999999999999,462.0816326530612,434.2040816326531,439.0434782608696,362.1304347826087,0.9,0.55,0.375,0.46875,0.5,0.46875,0.1875,0.65,0.75,0.8,0.35,0.25,1.0,0.8333333333333334,0.4166666666666667,0.25,0.1666666666666666
9,70,POST_TEST,503.3888888888889,0.92,0.7466666666666667,0.6666666666666666,577.1951219512196,376.3414634146341,319.8181818181818,394.9090909090909,1.0,0.6,0.4375,0.4375,0.4375,0.46875,0.28125,0.8,0.8,0.55,0.25,0.0,0.75,0.9166666666666666,0.0833333333333333,0.3333333333333333,0.0833333333333333
