,task,condition,BF_mean
0,enumeration,5,3.972691262157434
1,enumeration,6,1.195910483501423
2,enumeration,7,2.1083450026135093
3,enumeration,8,1.2762932236053925
4,enumeration,9,1.4433521834691763
5,enumeration,total-task,0.41813369939245804
6,working_memory,4,1.8796171879872323
7,working_memory,5,3.3962741783878654
8,working_memory,6,2.0068265133215526
9,working_memory,7,2.041693642789152
10,working_memory,8,460.59907834101386
11,working_memory,total-task,3.0772905204104246
12,gonogo,GO,0.9953195117345666
13,gonogo,NOGO,14.067400796238674
14,gonogo,total-task,1.378973483493183
15,loadblindness,near,4.657015641644043
16,loadblindness,far,218.66359447004612
17,loadblindness,total-task,268.5867895545315
18,mot,1,460.82949308755764
19,mot,4,460.82949308755764
20,mot,8,1.9711770208174542
21,mot,total-task,460.82949308755764
22,memorability,2,2.262134690525073
23,memorability,3,1.0177049950958574
24,memorability,4,1.0478664485751987
25,memorability,5,0.9629676548498813
26,memorability,100,1.8248642276946665
27,memorability,total-task,0.4072427547283642
28,taskswitch,parity,0.7736786319631126
29,taskswitch,relative,0.2433782755626953
30,taskswitch,switch,0.20189343484064093
31,taskswitch,unswitch,0.9121391880293075
32,taskswitch,total-task,0.42731609354051353
