,task,condition,BF_mean
0,enumeration,5,2.0640403216260266
1,enumeration,6,1.9626480319568902
2,enumeration,7,6.231860261243904
3,enumeration,8,24.55731092909593
4,enumeration,9,69.21402969790066
5,enumeration,total-task,5.271828118844338
6,working_memory,4,8.279406948803631
7,working_memory,5,52.55612148651198
8,working_memory,6,83.43208251042353
9,working_memory,7,345.39170506912444
10,working_memory,8,460.6566820276498
11,working_memory,total-task,460.82949308755764
12,gonogo,GO,326.1904761904762
13,gonogo,NOGO,460.82949308755764
14,gonogo,total-task,460.82949308755764
15,loadblindness,near,1.311588482562263
16,loadblindness,far,4.548397759458413
17,loadblindness,total-task,2.5107188535931746
18,mot,1,0.24970104743969415
19,mot,4,460.82949308755764
20,mot,8,2.435463751806213
21,mot,total-task,258.9861751152074
22,memorability,2,1.9328708921845728
23,memorability,3,1.1935977489204215
24,memorability,4,1.0455614133316942
25,memorability,5,2.443474715976473
26,memorability,100,3.804450179261238
27,memorability,total-task,0.5769843374604093
28,taskswitch,parity,0.116807086871994
29,taskswitch,relative,0.17477635500507865
30,taskswitch,switch,0.15626395617237515
31,taskswitch,unswitch,0.11459246334961176
32,taskswitch,total-task,0.05990418547936292
