,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,ROPE_in_HDI
mu_pre_test,1.752,0.096,1.576,1.938,0.001,0.001,14824.0,17313.0,1.0,True
mu_post_test,1.832,0.098,1.646,2.014,0.001,0.001,13680.0,16241.0,1.0,True
RT_pred_pre_test_missing[0],6.295,2.775,2.147,11.168,0.038,0.034,9935.0,6603.0,1.0,True
RT_pred_pre_test_missing[1],6.234,2.605,2.252,11.149,0.025,0.02,15282.0,9932.0,1.0,True
RT_pred_pre_test_missing[2],6.258,2.694,2.244,11.181,0.028,0.024,14834.0,9593.0,1.0,True
RT_pred_pre_test_missing[3],6.246,2.642,2.213,11.052,0.03,0.026,11681.0,8008.0,1.0,True
RT_pred_pre_test_missing[4],6.225,2.636,2.089,11.01,0.027,0.021,13660.0,9278.0,1.0,True
RT_pred_post_test_missing[0],6.771,2.877,2.321,12.012,0.029,0.025,14859.0,9513.0,1.0,True
RT_pred_post_test_missing[1],6.755,2.838,2.319,11.98,0.027,0.022,16178.0,10305.0,1.0,True
RT_pred_post_test_missing[2],6.779,2.873,2.278,12.061,0.027,0.022,15826.0,10790.0,1.0,True
RT_pred_post_test_missing[3],6.773,2.84,2.337,12.042,0.031,0.025,11677.0,8628.0,1.0,True
RT_pred_post_test_missing[4],6.773,2.874,2.339,12.024,0.03,0.024,13560.0,8500.0,1.0,True
RT_pred_post_test_missing[5],6.785,2.932,2.254,12.014,0.034,0.032,13942.0,9108.0,1.0,True
sigma,0.391,0.052,0.301,0.492,0.0,0.0,11881.0,14568.0,1.0,True
difference_of_means,0.08,0.137,-0.184,0.336,0.001,0.001,14392.0,16683.0,1.0,True
