,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_pre_test,1.823,0.153,1.534,2.11,0.003,0.002,3835.0,5293.0,1.0
mu_post_test,1.623,0.153,1.321,1.902,0.002,0.002,4219.0,5091.0,1.0
RT_pred_pre_test_missing[0],7.721,5.9,0.852,17.468,0.156,0.123,2770.0,1680.0,1.0
RT_pred_pre_test_missing[1],7.565,5.52,0.908,16.364,0.158,0.149,2883.0,2077.0,1.0
RT_pred_pre_test_missing[2],8.159,7.95,0.913,18.059,0.388,0.307,1549.0,808.0,1.0
RT_pred_pre_test_missing[3],7.651,5.845,0.865,17.106,0.156,0.13,3040.0,1823.0,1.0
RT_pred_pre_test_missing[4],7.471,5.438,0.913,16.569,0.143,0.14,3270.0,2415.0,1.0
RT_pred_post_test_missing[0],6.174,4.48,0.694,13.894,0.087,0.067,3969.0,3162.0,1.0
RT_pred_post_test_missing[1],6.173,4.417,0.829,13.584,0.098,0.08,3534.0,2303.0,1.0
RT_pred_post_test_missing[2],6.056,4.35,0.732,13.482,0.084,0.071,4668.0,3341.0,1.0
RT_pred_post_test_missing[3],6.276,4.7,0.756,14.022,0.097,0.074,4002.0,2685.0,1.0
RT_pred_post_test_missing[4],6.323,4.555,0.692,14.158,0.101,0.078,3452.0,2150.0,1.0
sigma,0.627,0.082,0.482,0.784,0.001,0.001,3627.0,4256.0,1.0
difference_of_means,-0.2,0.218,-0.623,0.204,0.003,0.002,4264.0,6277.0,1.0
