,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,ROPE_in_HDI
mu_pre_test,1.753,0.097,1.57,1.936,0.001,0.001,13598.0,15588.0,1.0,True
mu_post_test,1.832,0.098,1.644,2.014,0.001,0.001,13446.0,15129.0,1.0,True
RT_pred_pre_test_missing[0],6.277,2.707,2.128,11.278,0.026,0.021,15577.0,9491.0,1.0,True
RT_pred_pre_test_missing[1],6.239,2.71,2.167,11.032,0.032,0.027,12622.0,8321.0,1.0,True
RT_pred_pre_test_missing[2],6.32,2.736,2.135,11.309,0.03,0.026,12124.0,7731.0,1.0,True
RT_pred_pre_test_missing[3],6.248,2.642,2.111,11.047,0.027,0.022,14227.0,9429.0,1.0,True
RT_pred_pre_test_missing[4],6.311,2.727,2.247,11.336,0.034,0.028,9573.0,6925.0,1.0,True
RT_pred_post_test_missing[0],6.815,2.924,2.43,12.299,0.031,0.025,13603.0,8224.0,1.0,True
RT_pred_post_test_missing[1],6.784,2.878,2.299,12.068,0.032,0.026,11826.0,7304.0,1.0,True
RT_pred_post_test_missing[2],6.802,2.927,2.235,12.074,0.031,0.026,13894.0,9032.0,1.0,True
RT_pred_post_test_missing[3],6.773,2.886,2.293,11.959,0.032,0.029,12727.0,9040.0,1.0,True
RT_pred_post_test_missing[4],6.767,2.867,2.362,11.922,0.027,0.023,16455.0,10758.0,1.0,True
RT_pred_post_test_missing[5],6.766,2.919,2.191,11.895,0.03,0.024,14064.0,8507.0,1.0,True
sigma,0.392,0.053,0.3,0.49,0.0,0.0,12123.0,14327.0,1.0,True
difference_of_means,0.08,0.139,-0.182,0.343,0.001,0.001,13700.0,16038.0,1.0,True
