,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,ROPE_in_HDI
mu_pre_test,1.822,0.152,1.532,2.102,0.002,0.002,5029.0,7209.0,1.0,True
mu_post_test,1.622,0.156,1.324,1.913,0.002,0.002,4880.0,6207.0,1.0,True
RT_pred_pre_test_missing[0],7.598,5.643,0.894,16.929,0.129,0.116,4302.0,2475.0,1.0,True
RT_pred_pre_test_missing[1],7.603,5.515,0.997,17.427,0.108,0.085,4327.0,2801.0,1.0,True
RT_pred_pre_test_missing[2],7.654,5.528,0.963,17.461,0.115,0.094,3967.0,2622.0,1.0,True
RT_pred_pre_test_missing[3],7.594,5.78,0.941,16.862,0.145,0.14,4198.0,2715.0,1.0,True
RT_pred_pre_test_missing[4],7.752,5.693,0.966,17.513,0.134,0.117,3348.0,2352.0,1.0,True
RT_pred_post_test_missing[0],6.252,5.068,0.73,13.974,0.172,0.151,2756.0,1438.0,1.0,True
RT_pred_post_test_missing[1],6.232,4.483,0.701,13.834,0.091,0.073,4084.0,2862.0,1.0,True
RT_pred_post_test_missing[2],6.137,4.346,0.674,13.707,0.08,0.063,5367.0,3193.0,1.0,True
RT_pred_post_test_missing[3],6.248,4.516,0.741,14.134,0.095,0.072,3706.0,2071.0,1.0,True
RT_pred_post_test_missing[4],6.018,4.267,0.673,13.062,0.085,0.069,4037.0,2939.0,1.0,True
sigma,0.628,0.082,0.486,0.789,0.001,0.001,4997.0,4762.0,1.0,True
difference_of_means,-0.2,0.218,-0.603,0.214,0.003,0.002,4974.0,7026.0,1.0,True
