,task_name,condition,mean_pre,mean_post,mean_diff,pre_3_HDI,post_3_HDI,diff_3_HDI,sig_diff,diff_97_HDI,post_97_HDI,pre_97_HDI
0,enumeration,5,0.896,0.836,-0.059,0.856,0.789,-0.121,False,0.004,0.885,0.936
1,enumeration,6,0.728,0.752,0.025,0.669,0.695,-0.06,False,0.104,0.809,0.785
2,enumeration,7,0.569,0.619,0.05,0.502,0.554,-0.045,False,0.14,0.682,0.632
3,enumeration,8,0.45,0.466,0.016,0.384,0.403,-0.076,False,0.109,0.535,0.517
4,enumeration,9,0.341,0.312,-0.03,0.281,0.252,-0.118,False,0.056,0.374,0.405
5,enumeration,total-task,0.598,0.598,0.0,0.569,0.569,-0.04,False,0.042,0.627,0.627
6,working_memory,4,0.903,0.858,-0.045,0.854,0.802,-0.116,False,0.029,0.912,0.948
7,working_memory,5,0.708,0.777,0.068,0.634,0.708,-0.033,False,0.171,0.844,0.784
8,working_memory,6,0.501,0.552,0.052,0.422,0.473,-0.062,False,0.167,0.632,0.583
9,working_memory,7,0.307,0.343,0.037,0.231,0.267,-0.073,False,0.141,0.42,0.38
10,working_memory,8,0.09,0.209,0.12,0.045,0.144,0.035,True,0.197,0.277,0.136
11,working_memory,total-task,0.502,0.548,0.047,0.465,0.51,-0.004,False,0.1,0.584,0.538
12,gonogo,GO,0.846,0.869,0.022,0.799,0.827,-0.041,False,0.085,0.911,0.89
13,gonogo,NOGO,0.054,0.032,-0.023,0.028,0.011,-0.06,False,0.013,0.054,0.084
14,gonogo,total-task,0.942,0.967,0.025,0.92,0.95,-0.002,False,0.053,0.983,0.964
15,loadblindness,near,0.603,0.676,0.073,0.542,0.615,-0.015,False,0.154,0.733,0.663
16,loadblindness,far,0.541,0.685,0.145,0.478,0.624,0.057,True,0.229,0.741,0.604
17,loadblindness,total-task,0.572,0.681,0.108,0.528,0.641,0.047,True,0.169,0.725,0.616
18,mot,1,0.874,0.956,0.082,0.853,0.943,0.057,True,0.107,0.969,0.896
19,mot,4,0.677,0.782,0.105,0.645,0.755,0.065,True,0.146,0.809,0.705
20,mot,8,0.584,0.618,0.034,0.553,0.585,-0.013,False,0.079,0.649,0.619
21,mot,total-task,0.712,0.786,0.074,0.695,0.77,0.051,True,0.097,0.801,0.729
22,memorability,2,0.826,0.776,-0.05,0.772,0.718,-0.129,False,0.031,0.833,0.878
23,memorability,3,0.775,0.781,0.005,0.717,0.722,-0.074,False,0.088,0.838,0.83
24,memorability,4,0.798,0.792,-0.006,0.74,0.734,-0.087,False,0.076,0.849,0.853
25,memorability,5,0.831,0.826,-0.005,0.779,0.774,-0.079,False,0.071,0.879,0.883
26,memorability,100,0.489,0.528,0.04,0.421,0.46,-0.062,False,0.136,0.601,0.562
27,memorability,total-task,0.746,0.743,-0.003,0.718,0.714,-0.042,False,0.035,0.769,0.773
28,taskswitch,parity,0.969,0.95,-0.019,0.955,0.933,-0.042,False,0.003,0.968,0.983
29,taskswitch,relative,0.954,0.946,-0.008,0.936,0.928,-0.033,False,0.017,0.964,0.97
30,taskswitch,switch,0.96,0.955,-0.006,0.944,0.938,-0.029,False,0.018,0.972,0.975
31,taskswitch,unswitch,0.962,0.941,-0.021,0.946,0.923,-0.045,False,0.004,0.961,0.976
32,taskswitch,total-task,0.962,0.949,-0.013,0.951,0.936,-0.03,False,0.003,0.961,0.973
