,task_name,condition,pre_zpdes,post_zpdes,diff_zpdes,pre_baseline,post_baseline,diff_baseline,diff_pre_mean,diff_pre_HDI_3,diff_pre_HDI_97,diff_post_mean,diff_post_HDI_3,diff_post_HDI_97,diff_PG_mean,diff_PG_HDI_3,diff_PG_HDI_97,sig_diff
0,enumeration,5,0.87,0.825,-0.045,0.896,0.837,-0.059,-0.026,-0.083,0.033,-0.012,-0.082,0.054,0.014,-0.073,0.109,False
1,enumeration,6,0.788,0.743,-0.045,0.728,0.752,0.025,0.061,-0.016,0.14,-0.009,-0.089,0.064,-0.07,-0.176,0.042,False
2,enumeration,7,0.591,0.671,0.08,0.569,0.619,0.05,0.022,-0.07,0.11,0.052,-0.035,0.14,0.03,-0.096,0.153,False
3,enumeration,8,0.405,0.518,0.112,0.451,0.466,0.015,-0.045,-0.131,0.049,0.052,-0.037,0.146,0.097,-0.024,0.228,False
4,enumeration,9,0.221,0.342,0.121,0.341,0.312,-0.03,-0.12,-0.203,-0.042,0.031,-0.051,0.12,0.151,0.036,0.273,True
5,enumeration,total-task,0.575,0.621,0.045,0.598,0.598,-0.0,-0.023,-0.064,0.016,0.023,-0.015,0.063,0.046,-0.01,0.102,False
6,working_memory,4,0.8,0.891,0.091,0.903,0.858,-0.045,-0.103,-0.192,-0.021,0.033,-0.047,0.112,0.137,0.021,0.253,True
7,working_memory,5,0.618,0.772,0.154,0.709,0.776,0.067,-0.091,-0.202,0.023,-0.004,-0.099,0.104,0.087,-0.063,0.244,False
8,working_memory,6,0.437,0.617,0.18,0.5,0.545,0.045,-0.063,-0.188,0.059,0.073,-0.041,0.19,0.136,-0.029,0.311,False
9,working_memory,7,0.228,0.428,0.2,0.283,0.329,0.046,-0.055,-0.156,0.051,0.099,-0.019,0.212,0.155,0.001,0.314,False
10,working_memory,8,0.136,0.319,0.183,0.053,0.194,0.142,0.084,0.01,0.155,0.125,0.02,0.231,0.041,-0.084,0.169,False
11,working_memory,total-task,0.459,0.609,0.149,0.501,0.548,0.047,-0.042,-0.095,0.014,0.06,0.006,0.112,0.102,0.026,0.18,True
12,gonogo,GO,0.766,0.887,0.122,0.847,0.869,0.022,-0.082,-0.149,-0.011,0.018,-0.039,0.078,0.1,0.013,0.192,True
13,gonogo,NOGO,0.126,0.005,-0.121,0.04,0.005,-0.036,0.086,0.038,0.136,0.0,-0.012,0.012,-0.086,-0.135,-0.035,True
14,gonogo,total-task,0.854,0.987,0.133,0.942,0.967,0.025,-0.088,-0.127,-0.048,0.02,0.002,0.041,0.108,0.064,0.151,True
15,loadblindness,near,0.631,0.658,0.026,0.603,0.676,0.072,0.028,-0.053,0.12,-0.018,-0.104,0.065,-0.046,-0.167,0.072,False
16,loadblindness,far,0.517,0.59,0.073,0.54,0.685,0.144,-0.023,-0.109,0.068,-0.094,-0.18,-0.007,-0.071,-0.19,0.056,False
17,loadblindness,total-task,0.575,0.625,0.05,0.572,0.681,0.109,0.003,-0.059,0.065,-0.056,-0.118,0.001,-0.059,-0.145,0.027,False
18,mot,1,0.92,0.927,0.007,0.873,0.955,0.082,0.047,0.018,0.077,-0.028,-0.051,-0.006,-0.075,-0.112,-0.038,True
19,mot,4,0.708,0.809,0.1,0.675,0.78,0.105,0.034,-0.011,0.076,0.029,-0.008,0.068,-0.005,-0.063,0.052,False
20,mot,8,0.559,0.599,0.04,0.58,0.618,0.038,-0.021,-0.071,0.023,-0.019,-0.065,0.027,0.002,-0.062,0.07,False
21,mot,total-task,0.731,0.78,0.049,0.712,0.786,0.074,0.019,-0.005,0.043,-0.006,-0.029,0.016,-0.025,-0.058,0.008,False
22,memorability,2,0.803,0.759,-0.044,0.826,0.775,-0.051,-0.023,-0.106,0.055,-0.016,-0.1,0.07,0.007,-0.106,0.126,False
23,memorability,3,0.821,0.802,-0.018,0.775,0.781,0.006,0.046,-0.035,0.13,0.021,-0.062,0.099,-0.024,-0.138,0.092,False
24,memorability,4,0.821,0.827,0.007,0.797,0.792,-0.006,0.023,-0.057,0.103,0.035,-0.05,0.113,0.012,-0.103,0.125,False
25,memorability,5,0.735,0.79,0.055,0.832,0.826,-0.006,-0.097,-0.179,-0.01,-0.036,-0.114,0.045,0.061,-0.052,0.18,False
26,memorability,100,0.562,0.487,-0.075,0.489,0.528,0.04,0.073,-0.028,0.172,-0.041,-0.144,0.058,-0.114,-0.249,0.038,False
27,memorability,total-task,0.751,0.736,-0.015,0.746,0.743,-0.003,0.005,-0.035,0.043,-0.007,-0.049,0.032,-0.012,-0.066,0.047,False
28,taskswitch,parity,0.971,0.971,0.001,0.969,0.95,-0.019,0.002,-0.018,0.021,0.021,-0.001,0.044,0.019,-0.012,0.048,False
29,taskswitch,relative,0.971,0.965,-0.006,0.954,0.946,-0.008,0.017,-0.005,0.039,0.019,-0.004,0.043,0.002,-0.03,0.035,False
30,taskswitch,switch,0.964,0.962,-0.002,0.96,0.955,-0.006,0.004,-0.019,0.026,0.008,-0.016,0.03,0.004,-0.027,0.037,False
31,taskswitch,unswitch,0.977,0.974,-0.004,0.962,0.942,-0.021,0.015,-0.005,0.035,0.032,0.01,0.056,0.017,-0.013,0.048,False
32,taskswitch,total-task,0.972,0.969,-0.003,0.962,0.949,-0.013,0.009,-0.005,0.024,0.02,0.003,0.037,0.01,-0.011,0.033,False
