,task_name,condition,mean_pre,mean_post,mean_diff,pre_3_HDI,post_3_HDI,diff_3_HDI,sig_diff,diff_97_HDI,post_97_HDI,pre_97_HDI
0,enumeration,5,0.869,0.824,-0.045,0.828,0.777,-0.109,False,0.021,0.872,0.912
1,enumeration,6,0.788,0.743,-0.045,0.736,0.687,-0.118,False,0.033,0.798,0.838
2,enumeration,7,0.59,0.671,0.081,0.529,0.613,-0.005,False,0.166,0.729,0.652
3,enumeration,8,0.405,0.518,0.112,0.343,0.456,0.027,True,0.2,0.582,0.466
4,enumeration,9,0.221,0.342,0.122,0.17,0.281,0.042,True,0.2,0.4,0.274
5,enumeration,total-task,0.575,0.621,0.045,0.547,0.593,0.007,False,0.084,0.648,0.602
6,working_memory,4,0.8,0.891,0.091,0.726,0.834,-0.0,False,0.18,0.942,0.866
7,working_memory,5,0.627,0.773,0.145,0.538,0.698,0.032,True,0.262,0.849,0.711
8,working_memory,6,0.455,0.618,0.163,0.362,0.531,0.036,True,0.286,0.704,0.545
9,working_memory,7,0.254,0.427,0.173,0.172,0.338,0.053,True,0.288,0.515,0.327
10,working_memory,8,0.164,0.328,0.164,0.102,0.241,0.059,True,0.269,0.409,0.233
11,working_memory,total-task,0.459,0.609,0.15,0.42,0.57,0.095,True,0.209,0.649,0.501
12,gonogo,GO,0.77,0.887,0.117,0.717,0.848,0.054,True,0.187,0.925,0.823
13,gonogo,NOGO,0.131,0.014,-0.117,0.089,0.002,-0.161,True,-0.072,0.028,0.173
14,gonogo,total-task,0.857,0.987,0.131,0.823,0.977,0.097,True,0.167,0.997,0.889
15,loadblindness,near,0.63,0.658,0.027,0.567,0.599,-0.058,False,0.115,0.718,0.691
16,loadblindness,far,0.518,0.59,0.072,0.457,0.528,-0.015,False,0.162,0.652,0.584
17,loadblindness,total-task,0.574,0.624,0.05,0.53,0.58,-0.013,False,0.112,0.667,0.62
18,mot,1,0.922,0.928,0.007,0.904,0.91,-0.019,False,0.033,0.945,0.94
19,mot,4,0.71,0.81,0.1,0.68,0.782,0.058,True,0.141,0.837,0.742
20,mot,8,0.56,0.601,0.041,0.525,0.568,-0.008,False,0.088,0.635,0.593
21,mot,total-task,0.731,0.78,0.049,0.713,0.764,0.024,True,0.074,0.797,0.748
22,memorability,2,0.802,0.793,-0.009,0.742,0.735,-0.098,False,0.073,0.856,0.859
23,memorability,3,0.821,0.817,-0.004,0.765,0.757,-0.091,False,0.073,0.873,0.875
24,memorability,4,0.821,0.822,0.001,0.763,0.764,-0.078,False,0.08,0.876,0.875
25,memorability,5,0.735,0.748,0.014,0.669,0.685,-0.077,False,0.104,0.81,0.798
26,memorability,100,0.561,0.527,-0.035,0.489,0.45,-0.139,False,0.074,0.604,0.636
27,memorability,total-task,0.751,0.747,-0.004,0.722,0.718,-0.046,False,0.036,0.776,0.78
28,taskswitch,parity,0.971,0.971,0.0,0.958,0.957,-0.018,False,0.02,0.984,0.984
29,taskswitch,relative,0.971,0.965,-0.006,0.957,0.95,-0.027,False,0.014,0.979,0.984
30,taskswitch,switch,0.964,0.962,-0.002,0.949,0.946,-0.023,False,0.02,0.977,0.979
31,taskswitch,unswitch,0.977,0.974,-0.004,0.965,0.96,-0.022,False,0.014,0.986,0.988
32,taskswitch,total-task,0.972,0.969,-0.003,0.962,0.958,-0.018,False,0.01,0.978,0.981
