,Mental Demand,Physical demand,Temporal demand,Performance,Effort,Frustration,load_index,load_index
1,-3.5,3.5,-1.0,-3.25,-2.5,2.75,0.0,0.0
3,0.5,0.0,-1.5,-1.0,-0.75,3.75,5.0,5.0
5,1.0,3.5,-3.75,0.25,1.25,-3.5,2.75,2.75
7,1.0,2.5,-0.75,1.0,0.5,-8.0,0.25,0.25
9,-6.0,0.75,2.0,-5.25,-2.0,3.5,-3.0,-3.0
11,-4.75,0.0,0.5,0.0,-5.5,2.0,-3.75,-3.75
13,-3.25,-0.75,-0.5,1.0,-1.75,-5.0,-6.25,-6.25
15,-4.75,1.25,1.25,-0.75,-3.75,-3.5,-6.25,-6.25
17,-0.25,5.75,0.0,0.75,-0.25,0.25,10.25,10.25
19,-0.25,0.75,-2.25,-2.75,3.0,1.0,3.5,3.5
21,4.0,-3.75,-3.5,7.0,-0.75,-1.5,5.5,5.5
