,Mental Demand,Physical demand,Temporal demand,Performance,Effort,Frustration,load_index,load_index
1,0.5,-3.5,4.25,-3.5,-0.75,0.0,1.0,1.0
3,-4.25,0.0,-1.0,-2.25,-3.25,-5.25,-12.0,-12.0
5,0.75,1.5,0.0,-1.25,-1.0,-1.0,3.0,3.0
7,-8.0,-8.25,-4.75,-1.5,-8.0,-9.0,-35.5,-35.5
9,-4.5,-4.75,-3.25,-4.0,-6.0,-0.75,-19.25,-19.25
11,-0.5,-0.5,0.5,0.0,-0.75,0.25,3.0,3.0
13,0.0,0.0,2.75,-4.25,0.5,-2.0,1.0,1.0
15,2.0,0.25,1.5,-3.75,4.0,0.5,8.5,8.5
17,-7.5,1.0,-0.75,-0.5,-7.25,-1.25,-12.25,-12.25
19,0.75,3.25,0.25,-3.25,-3.25,-2.5,-0.75,-0.75
21,-1.5,-4.25,-4.25,3.0,-0.5,0.0,-3.5,-3.5
