,FA,PU,AE,RW,engagement_score
1,0.8888888888888891,-0.11111111111111116,0.666666666666667,-0.6666666666666667,0.1944444444444442
3,0.11111111111111138,-0.22222222222222276,-0.22222222222222188,-0.11111111111111116,-0.11111111111111116
5,-0.33333333333333304,0.7777777777777777,-0.22222222222222188,-0.3333333333333326,-0.027777777777777235
7,-0.3333333333333335,0.22222222222222188,-0.6666666666666667,-1.444444444444444,-0.5555555555555558
9,-0.11111111111111116,0.11111111111111072,-0.11111111111111116,-0.7777777777777781,-0.22222222222222276
11,0.7777777777777775,-4.440892098500626e-16,4.440892098500626e-16,0.3333333333333335,0.27777777777777724
13,-0.4444444444444444,0.5555555555555554,-0.11111111111111116,-0.3333333333333335,-0.08333333333333348
15,-0.8888888888888891,0.11111111111111116,-0.11111111111111116,-0.7777777777777781,-0.41666666666666696
17,-0.444444444444444,1.0000000000000009,0.3333333333333335,-0.5555555555555554,0.08333333333333304
19,-1.4444444444444442,1.2222222222222228,-0.11111111111111116,0.3333333333333326,-4.440892098500626e-16
21,-0.11111111111111116,0.7777777777777777,-0.2222222222222221,4.440892098500626e-16,0.11111111111111116
