,FA,PU,AE,RW,engagement_score
1,0.0,0.0,0.0,-0.3333333333333335,-0.08333333333333304
3,-0.3333333333333335,-0.33333333333333304,0.0,1.0,0.08333333333333304
5,-0.3333333333333335,-0.6666666666666665,1.0,1.6666666666666667,0.41666666666666696
7,0.3333333333333335,1.6666666666666665,0.6666666666666667,0.6666666666666665,0.8333333333333335
9,-0.9999999999999998,0.0,0.0,0.0,-0.25
11,-3.0,0.6666666666666665,-0.6666666666666667,-0.6666666666666667,-0.9166666666666667
13,-1.0,0.0,-1.0000000000000002,-1.0,-0.7500000000000002
15,-0.3333333333333335,0.666666666666667,1.0,1.3333333333333335,0.6666666666666665
17,0.6666666666666667,0.0,-0.33333333333333326,-1.0,-0.16666666666666696
19,0.0,0.9999999999999996,0.3333333333333335,0.0,0.3333333333333335
21,-1.0,-1.0,-0.6666666666666665,-1.0,-0.9166666666666665
