,FA,PU,AE,RW,engagement_score
1,1.0,0.33333333333333304,0.0,-1.3333333333333333,0.0
3,-0.33333333333333304,-1.333333333333333,-1.0,-0.3333333333333335,-0.75
5,0.6666666666666665,0.9999999999999996,-0.6666666666666665,-0.33333333333333304,0.16666666666666696
7,0.3333333333333335,-0.33333333333333304,-1.0,-1.6666666666666665,-0.666666666666667
9,0.0,0.33333333333333304,1.0,1.0,0.583333333333333
11,1.0,0.33333333333333304,-0.6666666666666665,0.6666666666666665,0.33333333333333304
13,-0.3333333333333335,0.3333333333333335,1.0,0.0,0.25
15,-1.0,0.6666666666666665,0.666666666666667,0.0,0.08333333333333304
17,0.666666666666667,1.0,1.0,0.0,0.6666666666666665
19,-2.333333333333333,2.0,0.0,0.6666666666666665,0.08333333333333304
21,0.0,1.3333333333333335,-0.6666666666666667,0.0,0.16666666666666652
